"accept","dobj","clt",-1.5
"adapt","prep_from","clt",-1.5
"add","dobj","clt",0.68
"add","dobj_MD","clt",-2.59
"add","prep_to","clt",2.84
"affect","nsubjpass","clt",1.34
"allow","nsubj","clt",1.89
"appear","prep_as_MD","clt",-1.5
"argument","prep_as","clt",-1.5
"associate","prep_with","clt",2.32
"attribute","prep_of","clt",2.5
"available","prep_on","clt",-1.5
"be","prep_in","clt",3.41
"be","prep_of_TO","clt",1.34
"be","prep_of_TO_TO","clt",1.34
"beginning","prep_of","clt",-1.5
"belong","nsubj","clt",-1.5
"body","prep_of","clt",1.34
"call","dobj","clt",-0.47
"call","dobj_MD","clt",2.11
"call","nsubjpass_MD","clt",1.34
"cast","prep_to","clt",-1.5
"catch","dobj_MD","clt",-1.5
"cause","nsubj","clt",1.34
"change","dobj","clt",1.34
"change","prep_to","clt",1.34
"check","dobj_TO","clt",-1.5
"child","nsubj","clt",-1.5
"child","prep_of","clt",-1.5
"class","prep_in","clt",2.67
"clt","amod","use",1.64
"clt","conj_and","clt",-12.34
"clt","conj_or","clt",-8.19
"clt","cop","be",7.62
"clt","infmod","copy",1.34
"clt","infmod","delete",1.34
"clt","infmod","move",1.34
"clt","infmod_TO","check",1.34
"clt","infmod_TO","find",1.34
"clt","infmod_TO","ignore",1.34
"clt","nsubj","document",1.34
"clt","nsubj","element",1.34
"clt","nsubj","example",-1.5
"clt","nsubj","operation",1.64
"clt","nsubj","set",-0.08
"clt","nsubj","value",-1.83
"clt","prep_because","clt",-1.5
"clt","prep_for","example",-1.83
"clt","rcmod","add",1.34
"clt","rcmod","be",1.64
"clt","rcmod","contain",1.64
"clt","rcmod","create",1.64
"clt","rcmod","implement",1.34
"clt","rcmod","operate",1.34
"clt","rcmod","use",1.89
"clt","rcmod_MD","use",1.34
"clt-Naminglistenerinterfaces","prep_such_as","clt",-1.5
"code","prep_for","clt",1.64
"compile","nsubjpass","clt",1.89
"configure","dobj","clt",1.34
"consider","dobj","clt",0.48
"consist","prep_of","clt",-2.12
"construct","dobj_TO","clt",-0.08
"constructor","prep_in","clt",1.34
"contain","dobj","clt",-4.73
"contain","dobj_MD","clt",-2.12
"contain","nsubj","clt",3.66
"contain","nsubj_MD","clt",-1.5
"contain","prep_in","clt",-1.5
"content","prep_of","clt",1.64
"contents","prep_of","clt",2.84
"convert","prep_to","clt",-1.5
"convert","prep_to_MD","clt",-1.5
"convert","prep_to_TO","clt",-1.5
"create","agent","clt",1.64
"create","dobj","clt",4.19
"create","dobj_MD","clt",1.34
"create","dobj_TO","clt",-1.28
"create","nsubj","clt",1.5
"create","nsubj_MD","clt",1.34
"create","nsubjpass","clt",1.22
"declaration","prep_of","clt",2.11
"define","agent","clt",-1.83
"define","dobj","clt",-3.66
"define","nsubj","clt",-1.17
"define","nsubjpass","clt",1.26
"define","prep_as_TO","clt",-1.5
"define","prep_by","clt",1.34
"define","prep_in","clt",-3.34
"define","prep_through","clt",-1.5
"depend","nsubj","clt",1.34
"determine","agent","clt",-1.5
"do","nsubj","clt",1.34
"element","prep_such_as","clt",-1.83
"enable","nsubj","clt",1.34
"encapsulate","nsubj","clt",1.34
"ensure","nsubj","clt",1.34
"extend","dobj","clt",-2.99
"extend","nsubj","clt",1.89
"find","dobj_TO","clt",-1.5
"find","prep_in","clt",-3.96
"follow","dobj","clt",-1.5
"form","prep_of","clt",-0.11
"generate","agent","clt",-1.5
"generate","dobj","clt",-1.83
"generate","nsubj","clt",1.89
"generate","prep_for","clt",1.34
"get","dobj","clt",1.74
"get","dobj_MD","clt",-1.5
"get","dobj_TO","clt",-0.08
"get","nsubj","clt",-0.08
"give","dobj","clt",-2.12
"give","nsubj","clt",1.34
"go","prep_to_TO","clt",-1.83
"have","dobj","clt",-1.44
"have","dobj_MD","clt",-2.12
"have","dobj_VBZ_neg","clt",-1.83
"have","nsubj","clt",2.5
"have","nsubj_MD","clt",1.34
"implement","dobj","clt",-3.66
"implement","dobj_MD","clt",-1.5
"implement","nsubj","clt",1.64
"implementation","prep_of","clt",-2.36
"indicate","nsubj","clt",3.28
"information","prep_on","clt",-1.5
"inherit","prep_from","clt",-1.5
"initialvalue","prep_for","clt",1.34
"insert","dobj_MD","clt",-1.5
"insert","prep_into_MD","clt",1.34
"instance","prep_of","clt",3.78
"instantiate","dobj","clt",1.34
"instantiate","nsubj","clt",1.34
"invocation","prep_of","clt",1.34
"invoke","dobj","clt",2.47
"invoke","dobj_MD","clt",1.64
"invoke","nsubj","clt",1.89
"invoke","nsubjpass","clt",2.11
"invoke","prep_with","clt",-1.83
"list","nsubj","clt",1.64
"list","prep_of","clt",2.85
"look","dobj","clt",-1.11
"look","prep_like","clt",-1.5
"map","nsubj","clt",3.41
"mark","nsubj","clt",-1.5
"match","nsubj","clt",-0.68
"method","prep_for","clt",-1.5
"method","prep_in","clt",1.34
"method","prep_of","clt",2.11
"navigate","prep_to","clt",1.34
"note","dobj","clt",1.34
"note","dobj_TO","clt",1.34
"object","nsubj","clt",-1.83
"occurrence","prep_of","clt",1.89
"overloading","prep_of","clt",-1.5
"parent","prep_of","clt",1.34
"part","nsubj","clt",1.22
"part","prep_of","clt",-2.12
"pass","dobj_TO","clt",-1.5
"pass","nsubj","clt",1.34
"pass","prep_to","clt",2.99
"perform","nsubj","clt",1.64
"precede","dobj","clt",-1.5
"precede","nsubj","clt",-1.5
"print","nsubj_MD","clt",2.11
"process","dobj","clt",1.64
"provide","agent","clt",-1.5
"provide","dobj","clt",1.64
"provide","nsubj","clt",2.67
