"functional","structural","descriptive","instruction","interCLT","other","pprob","nprob","pcprob","ncprob"
"1",0,0,0,0,0,1,0.0869565217391304,0.91304347826087,0.272651670950361,2.86284254497879
"2",0,0,0,0,1,0,0.241706161137441,0.758293838862559,1.55911844326708,4.8913519788771
"3",0,0,0,1,0,0,0.838297872340426,0.161702127659574,4.57675892036766,0.882826593776502
"4",0,0,1,0,0,0,0.815789473684211,0.184210526315789,4.55495751505875,1.02853879372294
"5",0,1,0,0,0,0,0.507987220447284,0.492012779552716,2.91899778688781,2.82720540365234
"6",1,0,0,0,0,0,0.91869918699187,0.0813008130081301,4.42094985493564,0.391234500436782
