"interCLT",0,0,0,1,0,0.37,0.63,2.08,3.53
"instruction",0,0,1,0,0,0.84,0.16,4.58,0.88
"descriptive",0,1,0,0,0,0.76,0.24,4.01,1.29
"structural",1,0,0,0,0,0.51,0.49,2.92,2.83
"functional",0,0,0,0,0,0.92,0.08,4.42,0.39
