"file_path";"xpath";"content";"simple_name";"fqn";"kind";"abstract";;;
"smack/processing.html";"/html/body/div[2]/ul/li[5]/tt";"FromContainsFilter";"FromContainsFilter";"org.jivesoftware.smack.filter.FromContainsFilter";"class";"f";;;
"smack/roster.html";"/html/body/div[5]/tt[2]";"Presence.Type.subscribe";"Type";"org.jivesoftware.smack.packet.Presence.Type";"enumeration";"f";;;
"smack/privacy.html";"/html/body/div[3]/ol/li[2]/div/pre/font[3]/i";"PrivacyItem";"PrivacyItem";"org.jivesoftware.smack.packet.PrivacyItem";"class";"f";;;
"smack/extensions/filetransfer.html";"/html/body/div[3]/p[4]/b[2]";"fileTransferRequest(request)";"fileTransferRequest";"org.jivesoftware.smackx.filetransfer.FileTransferListener.fileTransferRequest";"method";"t";;;
"smack/extensions/disco.html";"/html/body/div[6]/p[4]/b";"publishItems(String entityID";" DiscoverItems discoverItems)";"publishItems";"org.jivesoftware.smackx.ServiceDiscoveryManager.publishItems";"method";"f";;
"smack/extensions/muc.html";"/html/body/div[4]/p[4]/i[3]/b";"InvitationListener";"InvitationListener";"org.jivesoftware.smackx.muc.InvitationListener";"class";"t";;;
"smack/privacy.html";"/html/body/div[4]/p[2]/tt[4]";"updatedPrivacyList";"updatedPrivacyList";"org.jivesoftware.smack.PrivacyListListener.updatedPrivacyList";"method";"t";;;
"smack/extensions/messageevents.html";"/html/body/div[4]/ul/li[1]/i[2]/b";"MessageEventManager(Connection)";"MessageEventManager";"org.jivesoftware.smackx.MessageEventManager.MessageEventManager";"method";"f";;;
"smack/extensions/muc.html";"/html/body/div[4]/p[4]/i[8]/b";"InvitationRejectionListener";"InvitationRejectionListener";"org.jivesoftware.smackx.muc.InvitationRejectionListener";"class";"t";;;
"smack/extensions/dataforms.html";"/html/body/div[3]/p[5]/b";"getDataFormToSend()";"getDataFormToSend";"org.jivesoftware.smackx.Form.getDataFormToSend";"method";"f";;;
"smack/extensions/muc.html";"/html/body/div[10]/p[8]/b[4]";"addUserStatusListener(UserStatusListener listener)";"addUserStatusListener";"org.jivesoftware.smackx.muc.MultiUserChat.addUserStatusListener";"method";"f";;;
"smack/debugging.html";"/html/body/div[1]/ol[1]/li[1]/p[1]/tt";"Connection.DEBUG_ENABLED";"Connection";"org.jivesoftware.smack.Connection";"class";"t";;;
"smack/messaging.html";"/html/body/div[2]/p[3]/tt[3]";"Chat.sendMessage(Message)";"Chat";"org.jivesoftware.smack.Chat";"class";"f";;;
"smack/extensions/dataforms.html";"/html/body/div[2]/p[3]/b[1]";"Form.TYPE_FORM";"TYPE_FORM";"org.jivesoftware.smackx.Form.TYPE_FORM";"field";"f";;;
"smack/extensions/messageevents.html";"/html/body/div[2]/p[4]/i/b";"MessageEventManager.addNotificationsRequests";"MessageEventManager";"org.jivesoftware.smackx.MessageEventManager";"class";"f";;;
"smack/extensions/messageevents.html";"/html/body/div[4]/ul/li[2]/i/b";"MessageEventNotificationListener";"MessageEventNotificationListener";"org.jivesoftware.smackx.MessageEventNotificationListener";"class";"t";;;
"smack/extensions/disco.html";"/html/body/div[4]/p[4]/i[2]/b";"DiscoverItems";"DiscoverItems";"org.jivesoftware.smackx.packet.DiscoverItems";"class";"f";;;
"smack/privacy.html";"/html/body/div[3]/ul/li[2]/tt";"PrivacyList";"PrivacyList";"org.jivesoftware.smack.PrivacyList";"class";"f";;;
"smack/extensions/muc.html";"/html/body/div[11]/p[9]/i/b";"MultiUserChat";"MultiUserChat";"org.jivesoftware.smackx.muc.MultiUserChat";"class";"f";;;
"smack/extensions/dataforms.html";"/html/body/div[3]/p[4]/i[3]/b";"Form";"Form";"org.jivesoftware.smackx.Form";"class";"f";;;
"smack/extensions/filetransfer.html";"/html/body/div[2]/p[4]/b[2]/i";"FileTransferManager";"FileTransferManager";"org.jivesoftware.smackx.filetransfer.FileTransferManager";"class";"f";;;
"smack/messaging.html";"/html/body/div[3]";"Chat";"Chat";"org.jivesoftware.smack.Chat";"class";"f";;;
"smack/privacy.html";"/html/body/div[4]/p[2]/tt[1]";"PrivacyListListener";"PrivacyListListener";"org.jivesoftware.smack.PrivacyListListener";"class";"t";;;
"smack/extensions/disco.html";"/html/body/div[3]/p[4]/i[4]/b";"ServiceDiscoveryManager";"ServiceDiscoveryManager";"org.jivesoftware.smackx.ServiceDiscoveryManager";"class";"f";;;
"smack/extensions/messageevents.html";"/html/body/div[3]/p[3]/i[2]";"MessageEventManager";"MessageEventManager";"org.jivesoftware.smackx.MessageEventManager";"class";"f";;;
"smack/extensions/messageevents.html";"/html/body/div[3]/p[5]/i[1]";"DefaultMessageEventRequestListener";"DefaultMessageEventRequestListener";"org.jivesoftware.smackx.DefaultMessageEventRequestListener";"class";"f";;;
"smack/extensions/dataforms.html";"/html/body/div[2]/p[3]/i[2]/b";"FormField";"FormField";"org.jivesoftware.smackx.FormField";"class";"f";;;
"smack/extensions/muc.html";"/html/body/div[11]/p[10]/b[5]/i";"DefaultUserStatusListener";"DefaultUserStatusListener";"org.jivesoftware.smackx.muc.DefaultUserStatusListener";"class";"f";;;
"smack/extensions/disco.html";"/html/body/div[2]/p[4]/b[2]";"removeFeature(feature)";"removeFeature";"org.jivesoftware.smackx.ServiceDiscoveryManager.removeFeature";"method";"f";;;
"smack/connections.html";"/html/body/div[2]";"Connection";"Connection";"org.jivesoftware.smack.Connection";"class";"t";;;
"smack/extensions/muc.html";"/html/body/div[10]/p[6]/i[2]/b";"MultiUserChat";"MultiUserChat";"org.jivesoftware.smackx.muc.MultiUserChat";"class";"f";;;
"smack/extensions/filetransfer.html";"/html/body/div[3]/p[3]/b/i";"FileTransferManager";"FileTransferManager";"org.jivesoftware.smackx.filetransfer.FileTransferManager";"class";"f";;;
"smack/roster.html";"/html/body/div[5]";"Roster";"Roster";"org.jivesoftware.smack.Roster";"class";"f";;;
"smack/gettingstarted.html";"/html/body/div[5]/div/pre/font[3]/i";"Connection";"Connection";"org.jivesoftware.smack.Connection";"class";"t";;;
"smack/messaging.html";"/html/body/div[2]/p[3]/tt[1]";"Chat.sendMessage(String)";"Chat";"org.jivesoftware.smack.Chat";"class";"f";;;
"smack/overview.html";"/html/body/div[2]/ul/li[2]/tt[2]";"Roster";"Roster";"org.jivesoftware.smack.Roster";"class";"f";;;
"smack/messaging.html";"/html/body/div[3]/div/pre/font/i";"Connection";"Connection";"org.jivesoftware.smack.Connection";"class";"t";;;
"smack/extensions/disco.html";"/html/body/div[4]/p[4]/i[1]/b";"ServiceDiscoveryManager";"ServiceDiscoveryManager";"org.jivesoftware.smackx.ServiceDiscoveryManager";"class";"f";;;
"smack/extensions/filetransfer.html";"/html/body/div[4]/p[4]/b[1]/i";"IncomingFileTransfer";"IncomingFileTransfer";"org.jivesoftware.smackx.filetransfer.IncomingFileTransfer";"class";"f";;;
"smack/extensions/messageevents.html";"/html/body/div[2]/p[4]/i/b";"MessageEventManager.addNotificationsRequests";"addNotificationsRequests";"org.jivesoftware.smackx.MessageEventManager.addNotificationsRequests";"method";"f";;;
"smack/processing.html";"/html/body/div[1]/p[2]/tt[3]";"PacketListener";"PacketListener";"org.jivesoftware.smack.PacketListener";"class";"t";;;
"smack/processing.html";"/html/body/div[2]/ul/li[7]/tt";"AndFilter";"AndFilter";"org.jivesoftware.smack.filter.AndFilter";"class";"f";;;
"smack/extensions/disco.html";"/html/body/div[3]/p[4]/i[3]/b";"NodeInformationProvider";"NodeInformationProvider";"org.jivesoftware.smackx.NodeInformationProvider";"class";"t";;;
"smack/extensions/rosterexchange.html";"/html/body/div[3]/p[3]/i/b";"RosterExchangeManager";"RosterExchangeManager";"org.jivesoftware.smackx.RosterExchangeManager";"class";"f";;;
"smack/roster.html";"/html/body/div[3]/p[2]/tt[1]";"Roster.getPresence(String user)";"getPresence";"org.jivesoftware.smack.Roster.getPresence";"method";"f";;;
"smack/connections.html";"/html/body/div[3]/p[2]/i[1]";"ConnectionConfiguration#setReconnectionAllowed(boolean)";"ConnectionConfiguration";"org.jivesoftware.smack.ConnectionConfiguration";"class";"f";;;
"smack/extensions/muc.html";"/html/body/div[4]/p[4]/i[6]/b";"InvitationRejectionListener";"InvitationRejectionListener";"org.jivesoftware.smackx.muc.InvitationRejectionListener";"class";"t";;;
"smack/gettingstarted.html";"/html/body/div[5]/p[3]/tt[3]";"PacketFilter";"PacketFilter";"org.jivesoftware.smack.filter.PacketFilter";"class";"t";;;
"smack/processing.html";"/html/body/div[2]/ul/li[1]/tt";"PacketTypeFilter";"PacketTypeFilter";"org.jivesoftware.smack.filter.PacketTypeFilter";"class";"f";;;
"smack/extensions/muc.html";"/html/body/div[8]/p[3]/b";"createPrivateChat(String participant)";"createPrivateChat";"org.jivesoftware.smackx.muc.MultiUserChat.createPrivateChat";"method";"f";;;
"smack/gettingstarted.html";"/html/body/div[3]/p[4]/tt[1]";"Connection.login(String username";" String password)";"Connection";"org.jivesoftware.smack.Connection";"class";"t";;
"smack/connections.html";"/html/body/div[2]/p[2]/tt[3]";"XMPPConnection(String)";"XMPPConnection";"org.jivesoftware.smack.XMPPConnection.XMPPConnection";"method";"f";;;
"smack/debugging.html";"/html/body/div[1]/ol[2]/li[1]/tt[2]";"SmackDebugger";"SmackDebugger";"org.jivesoftware.smack.debugger.SmackDebugger";"class";"t";;;
"smack/extensions/muc.html";"/html/body/div[11]/p[8]/i/b";"MultiUserChat";"MultiUserChat";"org.jivesoftware.smackx.muc.MultiUserChat";"class";"f";;;
"smack/extensions/messageevents.html";"/html/body/div[3]/ul/li[1]/i[2]/b";"MessageEventManager(Connection)";"MessageEventManager";"org.jivesoftware.smackx.MessageEventManager.MessageEventManager";"method";"f";;;
"smack/extensions/muc.html";"/html/body/div[11]/p[9]/b";"banUser(String jid";" String reason)";"banUser";"org.jivesoftware.smackx.muc.MultiUserChat.banUser";"method";"f";;
"smack/extensions/filetransfer.html";"/html/body/div[3]/p[4]/b[1]/i";"FileTransferManager";"FileTransferManager";"org.jivesoftware.smackx.filetransfer.FileTransferManager";"class";"f";;;
"smack/extensions/rosterexchange.html";"/html/body/div[5]/ol/li[3]/i[1]";"RosterExchangeManager";"RosterExchangeManager";"org.jivesoftware.smackx.RosterExchangeManager";"class";"f";;;
"smack/processing.html";"/html/body/div[2]/ul/li[8]/tt";"OrFilter";"OrFilter";"org.jivesoftware.smack.filter.OrFilter";"class";"f";;;
"smack/extensions/rosterexchange.html";"/html/body/div[3]/p[3]/b";"send(RosterGroup";" String)";"send";"org.jivesoftware.smackx.RosterExchangeManager.send";"method";"f";;
"smack/extensions/xhtml.html";"/html/body/div[5]/p[3]/b";"isServiceEnabled";"isServiceEnabled";"org.jivesoftware.smackx.XHTMLManager.isServiceEnabled";"method";"f";;;
"smack/extensions/disco.html";"/html/body/div[3]/p[4]/i[1]/b";"ServiceDiscoveryManager";"ServiceDiscoveryManager";"org.jivesoftware.smackx.ServiceDiscoveryManager";"class";"f";;;
"smack/overview.html";"/html/body/div[2]/ul/li[2]/tt[1]";"Chat";"Chat";"org.jivesoftware.smack.Chat";"class";"f";;;
"smack/connections.html";"/html/body/div[3]/p[2]/i[2]";"Connection#connect()";"Connection";"org.jivesoftware.smack.Connection";"class";"t";;;
"smack/providers.html";"/html/body/div[2]";"IQProvider";"IQProvider";"org.jivesoftware.smack.provider.IQProvider";"class";"t";;;
"smack/extensions/disco.html";"/html/body/div[6]/p[4]/i[2]/b";"ServiceDiscoveryManager";"ServiceDiscoveryManager";"org.jivesoftware.smackx.ServiceDiscoveryManager";"class";"f";;;
"smack/extensions/dataforms.html";"/html/body/div[3]/p[4]/b[1]";"createAnswerForm()";"createAnswerForm";"org.jivesoftware.smackx.Form.createAnswerForm";"method";"f";;;
"smack/extensions/muc.html";"/html/body/div[4]/p[3]/i/b";"MultiUserChat";"MultiUserChat";"org.jivesoftware.smackx.muc.MultiUserChat";"class";"f";;;
"smack/extensions/muc.html";"/html/body/div[11]/p[10]/b[6]/i";"DefaultParticipantStatusListener";"DefaultParticipantStatusListener";"org.jivesoftware.smackx.muc.DefaultParticipantStatusListener";"class";"f";;;
"smack/extensions/dataforms.html";"/html/body/div[2]/p[3]/i[1]/b";"Form";"Form";"org.jivesoftware.smackx.Form";"class";"f";;;
"smack/processing.html";"/html/body/div[1]/ul/li[1]/tt";"org.jivesoftware.smack.PacketCollector";"PacketCollector";"org.jivesoftware.smack.PacketCollector";"class";"f";;;
"smack/extensions/muc.html";"/html/body/div[10]/p[8]/b[1]/i";"ParticipantStatusListener";"ParticipantStatusListener";"org.jivesoftware.smackx.muc.ParticipantStatusListener";"class";"t";;;
"smack/extensions/dataforms.html";"/html/body/div[2]/p[3]/i[4]/b";"Form";"Form";"org.jivesoftware.smackx.Form";"class";"f";;;
"smack/privacy.html";"/html/body/div[3]/ol/li[1]/tt";"PrivacyItem";"PrivacyItem";"org.jivesoftware.smack.packet.PrivacyItem";"class";"f";;;
"smack/extensions/muc.html";"/html/body/div[10]/p[7]/i/b";"MultiUserChat";"MultiUserChat";"org.jivesoftware.smackx.muc.MultiUserChat";"class";"f";;;
"smack/processing.html";"/html/body/div[1]/div[3]/pre/font[2]/i";"AndFilter";"AndFilter";"org.jivesoftware.smack.filter.AndFilter";"class";"f";;;
"smack/messaging.html";"/html/body/div[2]/div[1]/pre/font[1]/i";"Connection";"Connection";"org.jivesoftware.smack.Connection";"class";"t";;;
"smack/connections.html";"/html/body/div[3]/p[2]/i[1]";"ConnectionConfiguration#setReconnectionAllowed(boolean)";"setReconnectionAllowed";"org.jivesoftware.smack.ConnectionConfiguration.setReconnectionAllowed";"method";"f";;;
"smack/extensions/disco.html";"/html/body/div[3]/p[4]/b[1]";"setNodeInformationProvider(String node";" NodeInformationProvider listener)";"setNodeInformationProvider";"org.jivesoftware.smackx.ServiceDiscoveryManager.setNodeInformationProvider";"method";"f";;
