file_path;xpath;content;source;simple_name;fqn;kind;abstract;id;code_reference_id;code_element_id;index;rationale;linker_name;release_link_set_id;first_link_id
smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/pubsub.html;/html/body/div[3]/blockquote[2]/pre;M!M:zzzsnippet.LeafNode:send:zzzsnippet.PayloadItem;d;send;org.jivesoftware.smackx.pubsub.LeafNode.send;method;f;128534;914185;29282;0;"";javamethod;87855;87855
smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/rosterexchange.html;/html/body/div[5]/blockquote/pre;M!M:zzzsnippet.XMPPConnection:XMPPConnection:UNKNOWNP.UNKNOWN;d;XMPPConnection;org.jivesoftware.smack.XMPPConnection.XMPPConnection;method;f;128554;914134;24373;1;"";javamethod;87871;
smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/rosterexchange.html;/html/body/div[5]/blockquote/pre;M!M:zzzsnippet.XMPPConnection:XMPPConnection:UNKNOWNP.UNKNOWN;d;XMPPConnection;org.jivesoftware.smack.XMPPConnection.XMPPConnection;method;f;128553;914134;24366;0;"";javamethod;87871;87871
smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/pubsub.html;/html/body/div[3]/blockquote[1]/pre;M!M:zzzsnippet.LeafNode:send:zzzsnippet.Item;d;send;org.jivesoftware.smackx.pubsub.LeafNode.send;method;f;128598;914043;29289;1;"";javamethod;87903;
smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/pubsub.html;/html/body/div[3]/blockquote[1]/pre;M!M:zzzsnippet.LeafNode:send:zzzsnippet.Item;d;send;org.jivesoftware.smackx.pubsub.LeafNode.send;method;f;128597;914043;29282;0;"";javamethod;87903;87903
smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/pubsub.html;/html/body/div[3]/blockquote[1]/pre;M!M:zzzsnippet.Item:Item:java.lang.String;d;Item;org.jivesoftware.smackx.packet.DiscoverItems.Item.Item;method;f;128609;914041;28823;3;"";javamethod;87911;
smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/pubsub.html;/html/body/div[3]/blockquote[1]/pre;M!M:zzzsnippet.Item:Item:java.lang.String;d;Item;org.jivesoftware.smackx.packet.MUCOwner.Item.Item;method;f;128608;914041;28546;2;"";javamethod;87911;
smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/pubsub.html;/html/body/div[3]/blockquote[1]/pre;M!M:zzzsnippet.Item:Item:java.lang.String;d;Item;org.jivesoftware.smackx.packet.OfflineMessageRequest.Item.Item;method;f;128607;914041;28122;1;"";javamethod;87911;
smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/pubsub.html;/html/body/div[3]/blockquote[1]/pre;M!M:zzzsnippet.Item:Item:java.lang.String;d;Item;org.jivesoftware.smackx.pubsub.Item.Item;method;f;128606;914041;29539;0;"";javamethod;87911;87911
smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/messageevents.html;/html/body/div[3]/blockquote/pre;M!M:zzzsnippet.XMPPConnection:XMPPConnection:UNKNOWNP.UNKNOWN;d;XMPPConnection;org.jivesoftware.smack.XMPPConnection.XMPPConnection;method;f;128682;913781;24373;1;"";javamethod;87968;
