"compile","nsubjpass","clt","false","true","false","false","false","false","true","false","false","false","false"
"compile","nsubjpass","clt","false","true","false","false","false","false","true","false","false","false","false"
"compile","nsubjpass","clt","false","true","false","false","false","false","false","true","false","false","false"
"compile","nsubjpass","clt","false","true","false","false","false","false","true","false","false","false","false"
"throw","nsubjpass","clt","false","false","true","false","false","false","false","false","true","false","false"
"throw","nsubjpass","clt","false","false","true","false","false","false","false","false","true","false","false"
"throw","nsubjpass","clt","false","false","true","false","false","false","false","false","true","false","false"
"throw","nsubjpass","clt","false","false","true","false","false","false","false","false","true","false","false"
"invoke","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"invoke","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"invoke","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"invoke","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"invoke","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"contain","nsubjpass","clt","true","false","false","false","false","false","false","false","false","false","false"
"contain","nsubjpass","clt","true","false","false","false","false","false","false","false","false","false","false"
"bundle","nsubjpass","clt","true","false","false","false","false","false","false","false","false","false","false"
"bundle","nsubjpass","clt","true","false","false","false","false","false","false","false","false","false","false"
"bundle","nsubjpass","clt","true","false","false","false","false","false","false","false","false","false","false"
"define","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"define","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"define","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"define","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"define","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"define","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"define","nsubjpass","clt","false","false","true","false","false","false","false","false","true","false","false"
"define","nsubjpass","clt","false","false","true","false","false","false","false","false","true","false","false"
"use","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"use","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"use","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"use","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"use","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"use","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"use","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"use","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"use","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"use","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"use","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"use","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"specify","nsubjpass","clt","false","false","true","false","false","false","false","false","true","false","false"
"specify","nsubjpass","clt","false","false","true","false","false","false","false","false","true","false","false"
"specify","nsubjpass","clt","true","false","false","false","false","false","false","false","false","false","false"
"create","nsubjpass","clt","false","false","true","false","false","false","false","false","true","false","false"
"create","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"create","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"create","nsubjpass","clt","true","false","false","false","false","false","false","false","false","false","false"
"create","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"create","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"create","nsubjpass","clt","true","false","false","false","false","false","false","false","false","false","false"
"run","nsubjpass","clt","true","false","false","false","false","false","false","false","false","false","false"
"run","nsubjpass","clt","true","false","false","false","false","false","false","false","false","false","false"
"run","nsubjpass","clt","true","false","false","false","false","false","false","false","false","false","false"
"run","nsubjpass","clt","true","false","false","false","false","false","false","false","false","false","false"
"run","nsubjpass","clt","true","false","false","false","false","false","false","false","false","false","false"
"add","nsubjpass","clt","true","false","false","false","false","false","false","false","false","false","false"
"add","nsubjpass","clt","true","false","false","false","false","false","false","false","false","false","false"
"affect","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"affect","nsubjpass","clt","false","true","false","false","false","false","false","true","false","false","false"
"return","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"return","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"return","nsubjpass","clt","false","true","false","false","false","false","false","false","true","false","false"
"unbound","nsubjpass","clt","true","false","false","false","false","false","false","false","false","false","false"
"unbound","nsubjpass","clt","true","false","false","false","false","false","false","false","false","false","false"
"use","nsubjpass_MD","clt","false","true","false","false","false","false","false","false","true","false","false"
"use","nsubjpass_MD","clt","false","true","false","false","false","false","false","false","true","false","false"
"use","nsubjpass_MD","clt","false","true","false","false","false","false","false","false","true","false","false"
"use","nsubjpass_MD","clt","false","true","false","false","false","false","false","false","true","false","false"
"use","nsubjpass_MD","clt","false","true","false","false","false","false","false","false","true","false","false"
"call","nsubjpass_MD","clt","false","true","false","false","false","false","false","false","true","false","false"
"call","nsubjpass_MD","clt","false","true","false","false","false","false","false","false","true","false","false"
"throw","nsubjpass_MD","clt","false","false","true","false","false","false","false","false","true","false","false"
"throw","nsubjpass_MD","clt","false","false","true","false","false","false","false","false","true","false","false"
"throw","nsubjpass_MD","clt","false","false","true","false","false","false","false","false","true","false","false"
"throw","nsubjpass_MD","clt","false","false","true","false","false","false","false","false","true","false","false"
"throw","nsubjpass_MD","clt","false","false","true","false","false","false","false","false","true","false","false"
